Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,2,1655-1831-ND,BRIDGE RECT 1PHASE 600V 3A KBP,,2,0,0.44000,0.88,
2,1,36-3568-ND,FUSE HOLDER BLADE 500V 20A PCB,,1,0,0.98000,0.98,
3,1,1N5821FSCT-ND,DIODE SCHOTTKY 30V 3A DO201AD,,1,0,0.52000,0.52,
4,1,495-6160-ND,CAP ALUM 4700UF 20% 35V SNAP,,1,0,1.80000,1.80,
5,1,LMD18200T/NOPB-ND,IC MOTOR DRIVER PAR TO220-11,,1,0,16.74000,16.74,
6,11,CF18JT1K00CT-ND,RES 1K OHM 1/8W 5% CF AXIAL,placeholder,11,0,0.04900,0.54,
7,1,BC1084CT-ND,CAP CER 0.1UF 50V X7R RADIAL,,1,0,0.23000,0.23,
8,2,BC2662CT-ND,CAP CER 10000PF 50V X7R RADIAL,,2,0,0.17000,0.34,
9,1,475-3531-1-ND,PHOTOTRANSISTOR,,1,0,1.49000,1.49,
10,1,811-2093-ND,FIXED IND 680UH 500MA 1.65 OHM,,1,0,0.71000,0.71,
11,1,576-1514-5-ND,IC REG BUCK 5V 0.5A 8DIP,,1,0,1.54000,1.54,
12,1,ED2639-ND,TERM BLOCK 3.5MM VERT 6POS PCB,,1,0,1.52000,1.52,
13,1,1175-1260-ND,CABLE CONNECT CD-ROM AUDIO .5M,,1,0,1.46000,1.46,
14,2,S1012EC-40-ND,CONN HEADER .100" SNGL STR 40POS,,2,0,0.51000,1.02,
15,1,S6100-ND,CONN HEADER FEM 12POS.1" SGL TIN,,1,0,0.78000,0.78,
16,1,S7014-ND,CONN HEADER FEMALE 16POS.1" TIN,,1,0,0.98000,0.98,
17,1,F6073-ND,FUSE AUTO 3A 32VDC BLADE MINI,,1,0,0.28000,0.28,
18,2,P5166-ND,CAP ALUM 220UF 20% 35V RADIAL,,2,0,0.36000,0.72,
19,6,445-173579-1-ND,CAP CER 1UF 50V X5R RADIAL,,6,0,0.32000,1.92,
20,1,CF18JT560RCT-ND,RES 560 OHM 1/8W 5% CF AXIAL,,1,0,0.10000,0.10,
21,1,RNF18FTD100KCT-ND,RES 100K OHM 1/8W 1% AXIAL,,1,0,0.10000,0.10,
22,1,RNF18FTD10K0CT-ND,RES 10K OHM 1/8W 1% AXIAL,,1,0,0.10000,0.10,
23,1,S560CACT-ND,RES 560 OHM 1/4W 1% AXIAL,,1,0,0.10000,0.10,
24,1,BC2659CT-ND,CAP CER 1000PF 50V X7R RADIAL,,1,0,0.17000,0.17,
25,1,AB3X2X45W-ND,FERRITE CORE SOLID 1.5MM,,1,0,0.75000,0.75,
26,1,100QBK-ND,RES 100 OHM 1/4W 5% AXIAL,,1,0,0.10000,0.10,
